vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW X3;70.000 km;jun-11;135 kW (184 CV);Automático;Diésel;5 l/;IT;149;€ 15.400;;;
BMW X1;243.000 km;feb-10;105 kW (143 CV);Manual;Diésel;5,2;Unknown;136;€ 6.700;;;
BMW 320;151.228 km;jun-12;135 kW (184 CV);Automático;Gasolina;5,9;NL;141;€ 15.950;;;
BMW X1;148.000 km;jun-11;130 kW (177 CV);Automático;Diésel;-/- ;IT;-/- ;€ 10.800;;;
BMW 318;171.000 km;oct-10;105 kW (143 CV);Automático;Diésel;6 l/;DE;160;€ 8.650;;;
BMW 116;117.450 km;jul-12;85 kW (116 CV);Manual;Diésel;4,3;DE;114;€ 8.990;;;
BMW 520;217.996 km;nov-11;135 kW (184 CV);Automático;Diésel;5,2;DE;136;€ 11.450;;;
BMW X1;158.000 km;mar-11;130 kW (177 CV);Automático;Diésel;5,9;Unknown;155;€ 10.800;;;
BMW X1;122.000 km;feb-10;105 kW (143 CV);Manual;Diésel;5,7;Unknown;150;€ 9.500;;;
BMW 1er M Coupé;73.000 km;may-11;250 kW (340 CV);Manual;Gasolina;9,6;IT;224;€ 46.950;;;
BMW 525;153.000 km;ene-12;160 kW (218 CV);Automático;Diésel;5,4;DE;143;€ 14.999;;;
BMW 525;220.000 km;ago-10;150 kW (204 CV);Manual;Diésel;6,2;Unknown;162;€ 8.500;;;
BMW 116;142.000 km;jul-12;85 kW (116 CV);Manual;Diésel;4,1;Unknown;109;€ 8.000;;;
BMW X5;171.867 km;feb-10;173 kW (235 CV);Automático;Diésel;8,2;IT;217;€ 11.890;;;
BMW 135;99.500 km;oct-11;225 kW (306 CV);Manual;Gasolina;8,5;Unknown;198;€ 18.900;;;
BMW 525;189.000 km;sep-12;160 kW (218 CV);Automático;Diésel;5,4;Unknown;143;€ 12.450;;;
BMW 320;111.880 km;feb-10;125 kW (170 CV);Automático;Gasolina;7 l/;NL;-/- ;€ 12.945;;;
BMW 120;129.900 km;mar-11;130 kW (177 CV);Manual;Diésel;4,7;DE;125;€ 10.999;;;
BMW 320;46.817 km;feb-12;135 kW (184 CV);Manual;Diésel;4,5;DE;120;€ 14.990;;;
BMW 114;99.960 km;ago-12;75 kW (102 CV);Manual;Gasolina;5,5;AT;127;€ 9.499;;;
BMW X1;258.000 km;ago-10;120 kW (163 CV);Automático;Diésel;6,2;Unknown;164;€ 10.000;;;
BMW X1;239.000 km;jul-10;105 kW (143 CV);Manual;Diésel;5,2;IT;136;€ 6.300;;;
BMW 316;140.000 km;feb-12;85 kW (116 CV);Automático;Diésel;4,5;Unknown;118;€ 12.000;;;
BMW 318;135.000 km;may-12;105 kW (143 CV);Manual;Diésel;-/- ;BE;-/- ;€ 13.900;;;
BMW X6;152.474 km;ene-10;300 kW (408 CV);Automático;Electro/Gasolina;9,9;NL;231;€ 25.950;;;
BMW 118;83.192 km;ene-12;125 kW (170 CV);Automático;Gasolina;5,6;NL;131;€ 14.999;;;
BMW 118;76.000 km;feb-12;125 kW (170 CV);Automático;Gasolina;5,8;Unknown;134;€ 11.900;;;
BMW X3;124.000 km;abr-12;190 kW (258 CV);Automático;Diésel;6 l/;DE;159;€ 15.999;;;
BMW 525;154.000 km;nov-11;160 kW (218 CV);Automático;Diésel;5,4;Unknown;143;€ 15.200;;;
BMW X1;145.000 km;dic-11;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 8.921;;;
BMW 530;200.000 km;abr-12;180 kW (245 CV);Automático;Diésel;6,5;DE;173;€ 13.280;;;
BMW 318;187.200 km;ago-10;105 kW (143 CV);Automático;Diésel;4,8;Unknown;125;€ 6.500;;;
BMW 750;89.984 km;may-10;330 kW (449 CV);Automático;Electro/Gasolina;9,4;NL;219;€ 22.950;;;
BMW X6;210.000 km;jun-10;225 kW (306 CV);Automático;Diésel;7,5;DE;199;€ 16.990;;;
BMW 520;155.941 km;ene-11;135 kW (184 CV);Manual;Diésel;4,8;DE;127;€ 11.450;;;
BMW 116;136.000 km;ago-12;100 kW (136 CV);Manual;Gasolina;5,4;BE;125;€ 6.500;;;
BMW 320;169.980 km;mar-12;135 kW (184 CV);Automático;Diésel;5,8;DE;153;€ 9.990;;;
BMW 320;149.980 km;may-12;135 kW (184 CV);Automático;Diésel;4,5;DE;119;€ 14.490;;;
BMW 118;69.980 km;oct-11;105 kW (143 CV);Manual;Diésel;4,5;DE;119;€ 11.990;;;
BMW 535;163.980 km;sep-12;230 kW (313 CV);Automático;Diésel;5,6;DE;148;€ 18.590;;;
BMW 118;119.980 km;ago-11;105 kW (143 CV);Automático;Diésel;4,4;DE;117;€ 10.990;;;
BMW 535;210.000 km;mar-12;230 kW (313 CV);Automático;Diésel;5,7;Unknown;149;€ 17.000;;;
BMW 320;196.000 km;feb-12;135 kW (184 CV);Automático;Diésel;5,8;Unknown;153;€ 7.500;;;
BMW X1;134.000 km;mar-10;110 kW (150 CV);Manual;Gasolina;8,2;DE;191;€ 9.499;;;
BMW X3;114.500 km;jul-10;130 kW (177 CV);Automático;Diésel;6,7;Unknown;178;€ 10.900;;;
BMW 118;185.000 km;jun-10;105 kW (143 CV);Manual;Diésel;4,5;IT;119;€ 6.600;;;
BMW 535;199.715 km;jun-10;225 kW (306 CV);Automático;Gasolina;8,4;NL;195;€ 15.950;;;
BMW 320;118.134 km;abr-12;135 kW (184 CV);Automático;Gasolina;5,9;NL;138;€ 15.950;;;
BMW 320;112.000 km;may-12;135 kW (184 CV);Automático;Gasolina;6,3;DE;149;€ 12.990;;;
BMW 116;215.306 km;oct-10;85 kW (116 CV);Manual;Diésel;-/- ;DE;-/- ;€ 4.690;;;
BMW 535;222.904 km;jun-11;220 kW (299 CV);Automático;Diésel;6,3;DE;167;€ 12.490;;;
BMW 320;118.134 km;abr-12;135 kW (184 CV);Automático;Gasolina;5,9;NL;138;€ 15.950;;;
BMW 525;230.000 km;may-12;160 kW (218 CV);Automático;Diésel;5,1;Unknown;135;€ 9.500;;;
BMW 116;90.000 km;dic-10;90 kW (122 CV);Manual;Gasolina;6,1;DE;143;€ 7.950;;;
BMW 520;226.000 km;may-11;135 kW (184 CV);Automático;Diésel;5,2;Unknown;137;€ 12.900;;;
BMW 650;83.000 km;oct-12;330 kW (449 CV);Automático;Gasolina;8,6;DE;199;€ 30.990;;;
BMW 335;109.064 km;feb-12;225 kW (306 CV);Automático;Gasolina;7,2;NL;169;€ 25.950;;;
BMW 318;158.721 km;nov-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;146;€ 5.300;;;
BMW 318;160.350 km;feb-12;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 7.900;;;
BMW 525;164.131 km;mar-10;145 kW (197 CV);Automático;Diésel;6,5;Unknown;172;€ 4.000;;;
BMW 116;100.000 km;feb-12;85 kW (116 CV);Manual;Diésel;4,5;BE;118;€ 7.650;;;
BMW 318;210.000 km;ene-10;105 kW (143 CV);Manual;Diésel;4,7;Unknown;123;€ 8.500;;;
BMW 118;164.000 km;oct-10;105 kW (143 CV);Manual;Diésel;4,9;DE;130;€ 7.999;;;
BMW 318;34.500 km;mar-12;105 kW (143 CV);Automático;Diésel;6 l/;DE;140;€ 12.699;;;
BMW X1;109.000 km;mar-11;130 kW (177 CV);Manual;Diésel;5,8;DE;153;€ 10.999;;;
BMW X1;115.000 km;may-11;130 kW (177 CV);Manual;Diésel;5,8;Unknown;153;€ 9.200;;;
BMW X1;98.000 km;oct-12;160 kW (218 CV);Automático;Diésel;5,5;Unknown;145;€ 16.500;;;
BMW 520;67.980 km;mar-12;135 kW (184 CV);Automático;Gasolina;6,4;NL;149;€ 18.995;;;
BMW 730;85.000 km;ago-11;180 kW (245 CV);Automático;Diésel;6,8;DE;178;€ 24.900;;;
BMW 520;117.000 km;dic-11;135 kW (184 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 12.800;;;
BMW 740;152.280 km;dic-11;241 kW (328 CV);Automático;Gasolina;9,9;NL;232;€ 20.950;;;
BMW 520;173.600 km;oct-10;135 kW (184 CV);Automático;Diésel;5,2;AT;137;€ 13.290;;;
BMW 318;135.000 km;may-12;105 kW (143 CV);Manual;Diésel;-/- ;FR;-/- ;€ 13.900;;;
BMW 318;141.000 km;abr-10;105 kW (143 CV);Automático;Gasolina;6,9;DE;159;€ 8.499;;;
BMW 530;150.000 km;oct-11;190 kW (258 CV);Automático;Diésel;5,7;AT;149;€ 19.850;;;
BMW 530;141.000 km;sep-11;190 kW (258 CV);Automático;Diésel;5,7;IT;149;€ 16.000;;;
BMW X1;150.000 km;dic-12;160 kW (218 CV);Automático;Diésel;5,5;Unknown;145;€ 13.000;;;
BMW X1;99.890 km;jun-12;105 kW (143 CV);Automático;Diésel;5,9;DE;155;€ 12.500;;;
BMW 318;166.619 km;oct-10;100 kW (136 CV);Manual;Diésel;4,8;NL;120;€ 9.999;;;
BMW 520;89.000 km;mar-12;160 kW (218 CV);Automático;Diésel;4,9;BE;139;€ 18.900;;;
BMW 520;160.000 km;oct-12;135 kW (184 CV);Manual;Diésel;4,9;BE;130;€ 10.950;;;
BMW X3;155.000 km;feb-12;120 kW (163 CV);Automático;Diésel;5,6;BE;147;€ 10.900;;;
BMW 523;170.808 km;may-10;150 kW (204 CV);Automático;Gasolina;-/- ;NL;178;€ 14.950;;;
BMW 335;140.900 km;sep-10;225 kW (306 CV);Automático;Gasolina;-/- ;NL;-/- ;€ 18.950;;;
BMW X1;177.500 km;may-11;100 kW (136 CV);Automático;Diésel;5,9;Unknown;155;€ 9.250;;;
BMW 550;100.964 km;jul-10;299 kW (407 CV);Automático;Gasolina;11,2;NL;275;€ 19.450;;;
BMW 520;220.000 km;oct-12;135 kW (184 CV);Automático;Diésel;4,9;Unknown;129;€ 9.500;;;
BMW 318;232.523 km;ene-12;100 kW (136 CV);Manual;Gasolina;6,3;NL;146;€ 8.499;;;
BMW 530;291.000 km;abr-12;190 kW (258 CV);Manual;Diésel;5,9;IT;155;€ 9.900;;;
BMW 520;346.202 km;oct-11;135 kW (184 CV);Manual;Diésel;4,9;IT;129;€ 6.499;;;
BMW 118;180.000 km;ago-11;105 kW (143 CV);Manual;Diésel;5,3;Unknown;140;€ 6.500;;;
BMW X1;64.642 km;oct-10;130 kW (177 CV);Manual;Diésel;5,8;FR;153;€ 14.990;;;
BMW Z4;148.912 km;abr-10;150 kW (204 CV);Manual;Gasolina;8,5;NL;199;€ 18.450;;;
BMW 520;153.922 km;abr-12;135 kW (184 CV);Automático;Diésel;5,1;NL;133;€ 15.950;;;
BMW X1;141.160 km;mar-10;110 kW (150 CV);Manual;Gasolina;-/- ;Unknown;-/- ;€ 9.950;;;
BMW 118;109.000 km;ago-10;107 kW (145 CV);Manual;Gasolina;-/- ;FR;153;€ 10.900;;;
BMW 118;150.000 km;sep-10;100 kW (136 CV);Manual;Diésel;4,9;BE;127;€ 7.750;;;
BMW 520;130.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,8;DE;127;€ 12.450;;;
BMW X1;99.800 km;dic-10;110 kW (150 CV);Manual;Gasolina;7,2;DE;191;€ 9.950;;;
BMW X3;197.000 km;dic-11;190 kW (258 CV);Automático;Diésel;6 l/;DE;159;€ 13.950;;;
BMW M3;86.300 km;abr-10;463 kW (630 CV);Automático;Gasolina;12,3;DE;293;€ 34.900;;;
BMW X3;166.000 km;jul-10;160 kW (218 CV);Manual;Gasolina;9,3;Unknown;224;€ 3.000;;;
BMW 316;210.000 km;dic-12;85 kW (116 CV);Manual;Diésel;4,5;Unknown;118;€ 8.300;;;
BMW X1;134.000 km;sep-12;160 kW (218 CV);Automático;Diésel;5,9;DE;156;€ 14.600;;;
BMW 523;207.613 km;oct-10;150 kW (204 CV);Automático;Gasolina;7,6;Unknown;178;€ 8.999;;;
BMW 116;153.877 km;jul-11;100 kW (136 CV);Manual;Gasolina;5,6;DE;131;€ 8.500;;;
BMW 520;260.000 km;ago-10;120 kW (163 CV);Manual;Diésel;5,7;Unknown;152;€ 6.500;;;
BMW 740;120.000 km;feb-12;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;183;€ 23.550;;;
BMW 525;115.000 km;dic-12;160 kW (218 CV);Automático;Diésel;4,8;Unknown;126;€ 15.100;;;
BMW X1;200.000 km;jun-10;105 kW (143 CV);Automático;Diésel;6,2;Unknown;164;€ 7.750;;;
BMW X5;62.293 km;jun-12;225 kW (306 CV);Automático;Diésel;7,3;AT;198;€ 34.900;;;
BMW 523;114.699 km;jul-10;150 kW (204 CV);Automático;Gasolina;-/- ;AT;-/- ;€ 14.880;;;
BMW 316;181.000 km;jun-11;85 kW (116 CV);Manual;Diésel;4,5;Unknown;118;€ 8.500;;;
BMW 330;269.000 km;jul-10;180 kW (245 CV);Automático;Diésel;5,7;Unknown;152;€ 8.400;;;
BMW 320;220.000 km;jul-12;135 kW (184 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 11.900;;;
BMW X6;290.162 km;mar-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 18.950;;;
BMW 740;201.000 km;oct-10;225 kW (306 CV);Automático;Diésel;7 l/;Unknown;183;€ 19.500;;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;;
BMW 120;188.000 km;jun-11;130 kW (177 CV);Manual;Diésel;4,7;DE;124;€ 8.900;;;
BMW 116;144.658 km;jun-12;100 kW (136 CV);Automático;Gasolina;5,8;Unknown;134;€ 14.500;;;
BMW 525;116.000 km;ago-12;160 kW (218 CV);Automático;Diésel;4,8;Unknown;126;€ 16.500;;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 530;78.450 km;jun-11;180 kW (245 CV);Automático;Diésel;6,3;ES;-/- ;€ 19.500;;;
BMW 650;73.000 km;sep-11;300 kW (408 CV);Automático;Gasolina;10,5;Unknown;245;€ 26.000;;;
BMW 320;134.845 km;oct-10;125 kW (170 CV);Manual;Gasolina;6,8;DE;159;€ 13.860;;;
BMW 1er M Coupé;30.500 km;may-11;250 kW (340 CV);Manual;Gasolina;9,6;Unknown;224;€ 55.000;;;
BMW 318;269.800 km;jun-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 4.900;;;
BMW X5 M;127.000 km;jun-12;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 26.490;;;
BMW 320;171.000 km;sep-10;135 kW (184 CV);Manual;Diésel;4,7;Unknown;125;€ 9.900;;;
BMW X1;140.000 km;sep-12;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 13.900;;;
BMW 116;151.478 km;may-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 7.950;;;
BMW 118;150.353 km;may-11;105 kW (143 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.400;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW X3;165.000 km;dic-11;135 kW (184 CV);Automático;Diésel;5,6;Unknown;149;€ 13.900;;;
BMW 730;140.000 km;ago-12;180 kW (245 CV);Automático;Diésel;6,8;Unknown;178;€ 23.500;;;
BMW 530;161.000 km;ene-12;180 kW (245 CV);Automático;Diésel;6,9;Unknown;183;€ 20.999;;;
BMW X1;108.000 km;abr-12;105 kW (143 CV);Automático;Diésel;6,2;Unknown;164;€ 15.500;;;
BMW 320;187.000 km;mar-10;130 kW (177 CV);Manual;Diésel;4,9;Unknown;130;€ 7.950;;;
BMW X1;95.000 km;jul-11;105 kW (143 CV);Manual;Diésel;5,7;Unknown;150;€ 11.500;;;
BMW 320;111.846 km;may-10;125 kW (170 CV);Automático;Gasolina;6,8;ES;-/- ;€ 15.500;;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;;
BMW X3;90.000 km;jun-12;230 kW (313 CV);Automático;Diésel;6,1;Unknown;162;€ 21.800;;;
BMW 320;101.000 km;jul-11;120 kW (163 CV);Automático;Diésel;5,6;BE;149;€ 16.950;;;
