vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;
BMW 530;248.000 km;oct-10;221 kW (300 CV);Automático;Diésel;10 l;Unknown;165;€ 16.500;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;
BMW 116;222.000 km;ene-10;85 kW (116 CV);Manual;Diésel;4,4;Unknown;118;€ 4.900;;
BMW M3;112.000 km;jun-10;309 kW (420 CV);Manual;Gasolina;12,4;Unknown;290;€ 32.500;;
BMW 120;195.000 km;feb-10;130 kW (177 CV);Manual;Diésel;4,9;Unknown;125;€ 6.500;;
BMW X5;328.500 km;ago-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 12.990;;
BMW 525;184.000 km;may-10;150 kW (204 CV);Manual;Diésel;6,2;ES;-/- ;€ 20.990;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW 320;92.000 km;dic-10;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.500;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;
BMW X5;182.300 km;may-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 18.590;;
BMW X5;228.000 km;jul-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 17.990;;
BMW 118;149.000 km;jun-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;118;€ 9.500;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;
BMW 528;95.848 km;jul-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.400;;
BMW 318;200.000 km;ago-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;120;€ 7.200;;
BMW 528;112.800 km;may-10;190 kW (258 CV);Manual;Gasolina;7,8;Unknown;182;€ 13.750;;
BMW 320;199.000 km;jul-10;120 kW (163 CV);Manual;Diésel;4,1;Unknown;109;€ 8.900;;
BMW X1;88.900 km;dic-10;105 kW (143 CV);Manual;Diésel;5,2;ES;-/- ;€ 14.500;;
BMW X1;199.074 km;jun-10;105 kW (143 CV);Automático;Diésel;6,2;ES;-/- ;€ 10.550;;
BMW X1;181.332 km;mar-10;130 kW (177 CV);Automático;Diésel;6,2;ES;-/- ;€ 9.950;;
BMW;228.360 km;jun-10;105 kW (143 CV);Automático;Diésel;-/- ;ES;-/- ;€ 6.990;;
BMW X1;157.500 km;ene-10;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 11.900;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;
BMW 530;112.900 km;oct-10;180 kW (245 CV);Automático;Diésel;6,3;Unknown;165;€ 20.000;;
BMW 118;144.000 km;jun-10;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 10.999;;
BMW X5;328.500 km;ago-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 12.990;;
BMW X1;180.000 km;jul-10;105 kW (143 CV);Manual;Diésel;5,7;Unknown;150;€ 10.500;;
BMW X6;200.000 km;ene-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 18.999;;
BMW 525;184.000 km;may-10;150 kW (204 CV);Manual;Diésel;6,2;ES;-/- ;€ 21.990;;
BMW 528;109.999 km;sep-10;190 kW (258 CV);Automático;Gasolina;7,6;ES;-/- ;€ 16.990;;
BMW X6;245.000 km;feb-10;210 kW (286 CV);Automático;Diésel;8,3;ES;220;€ 20.999;;
BMW X3;217.000 km;sep-10;130 kW (177 CV);Automático;Diésel;6,7;ES;-/- ;€ 9.500;;
BMW X5;90.590 km;abr-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 19.700;;
BMW 118;69.800 km;abr-10;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 10.690;;
BMW 116;122.955 km;ene-10;85 kW (116 CV);Manual;Diésel;4,4;ES;118;€ 8.900;;
BMW 320;159.000 km;jun-10;125 kW (170 CV);Manual;Gasolina;6,3;ES;154;€ 10.900;;
BMW 320;118.037 km;jun-10;135 kW (184 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.845;;
BMW 318;110.000 km;jun-10;105 kW (143 CV);Manual;Diésel;5,3;ES;140;€ 9.995;;
BMW 535;120.000 km;jul-10;225 kW (306 CV);Automático;Gasolina;8,9;Unknown;209;€ 18.500;;
BMW 118;158.000 km;jul-10;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 7.990;;
BMW X5;224.000 km;oct-10;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 22.900;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;
BMW 318;185.985 km;dic-10;100 kW (136 CV);Manual;Diésel;4,5;ES;120;€ 7.650;;
BMW 750;170.000 km;jul-10;300 kW (408 CV);Automático;Gasolina;11,9;Unknown;278;€ 19.900;;
BMW 120;107.000 km;abr-10;120 kW (163 CV);Manual;Diésel;5,1;Unknown;134;€ 12.000;;
BMW 118;117.455 km;oct-10;105 kW (143 CV);Manual;Gasolina;6,3;ES;-/- ;€ 10.900;;
BMW Z4;111.239 km;abr-10;150 kW (204 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 17.900;;
BMW X5;199.000 km;mar-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 14.900;;
BMW 320;78.000 km;nov-10;120 kW (163 CV);Manual;Diésel;4,1;ES;-/- ;€ 10.900;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW 118;116.000 km;ene-10;105 kW (143 CV);Manual;Gasolina;6,3;Unknown;152;€ 11.500;;
BMW 118;130.000 km;dic-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;118;€ 10.999;;
BMW X6;178.329 km;dic-10;225 kW (306 CV);Automático;Diésel;7,5;Unknown;198;€ 19.900;;
BMW 530;142.513 km;sep-10;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 10.153;;
BMW 320;159.000 km;jun-10;135 kW (184 CV);Automático;Diésel;5,4;ES;142;€ 11.900;;
BMW 118;150.000 km;ene-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;118;€ 10.900;;
BMW 335;95.000 km;may-10;225 kW (306 CV);Automático;Gasolina;9,5;Unknown;226;€ 22.000;;
BMW X1;185.000 km;jul-10;105 kW (143 CV);Automático;Diésel;5,9;ES;-/- ;€ 10.790;;
BMW 530;199.999 km;ago-10;180 kW (245 CV);Automático;Diésel;6,5;ES;173;€ 12.999;;
BMW X5;185.260 km;feb-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 16.900;;
BMW 118;146.900 km;abr-10;105 kW (143 CV);Manual;Diésel;4,9;ES;-/- ;€ 10.950;;
BMW X5;233.000 km;ene-10;210 kW (286 CV);Automático;Diésel;8,3;ES;-/- ;€ 13.490;;
BMW 118;125.000 km;jul-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;118;€ 7.790;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW 320;112.000 km;may-10;125 kW (170 CV);Manual;Gasolina;6,6;Unknown;154;€ 10.300;;
BMW 525;183.654 km;may-10;150 kW (204 CV);Automático;Diésel;6,1;ES;-/- ;€ 20.000;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW 118;157.000 km;jun-10;105 kW (143 CV);Manual;Diésel;4,7;ES;-/- ;€ 9.450;;
BMW Z4;80.215 km;jun-10;1 kW (1 CV);-/- (Cambio);Gasolina;-/- ;Unknown;-/- ;€ 17.264;;
