vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW X3;150.000 km;dic-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 15.900;;;
BMW 520;199.000 km;ene-11;135 kW (184 CV);Manual;Diésel;5,1;ES;-/- ;€ 11.900;;;
BMW X1;98.000 km;may-11;130 kW (177 CV);Automático;Diésel;6,2;ES;-/- ;€ 14.490;;;
BMW X3;150.900 km;mar-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 15.390;;;
BMW 320;133.537 km;oct-11;135 kW (184 CV);Manual;Diésel;5,1;ES;-/- ;€ 14.490;;;
BMW X5;184.198 km;ene-11;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 17.490;;;
BMW X5;210.703 km;may-11;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 15.950;;;
BMW BMW;173.407 km;nov-11;135 kW (184 CV);Automático;Diésel;-/- ;ES;-/- ;€ 13.950;;;
BMW BMW;173.387 km;jul-11;135 kW (184 CV);Automático;Diésel;-/- ;ES;-/- ;€ 12.990;;;
BMW BMW;98.799 km;sep-11;135 kW (184 CV);Manual;Diésel;-/- ;ES;-/- ;€ 14.990;;;
BMW 118;52.000 km;dic-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;118;€ 14.800;;;
BMW 1er M Coupé;49.000 km;oct-11;250 kW (340 CV);Manual;Gasolina;9,6;Unknown;224;€ 53.000;;;
BMW X3;150.900 km;mar-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 15.390;;;
BMW 730;140.000 km;ene-11;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 21.999;;;
BMW 325;113.000 km;jul-11;160 kW (218 CV);Manual;Gasolina;7,3;Unknown;170;€ 14.500;;;
BMW X1;160.000 km;nov-11;150 kW (204 CV);Automático;Diésel;6,3;Unknown;167;€ 11.500;;;
BMW 520;195.000 km;nov-11;135 kW (184 CV);Automático;Diésel;5,2;ES;-/- ;€ 13.999;;;
BMW 318;194.000 km;mar-11;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 10.000;;;
