vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
Porsche Macan;63.000 km;jun-15;190 kW (258 CV);Automático;Diésel;6,1;Unknown;159;€ 45.400
Porsche 911;52.000 km;oct-13;412 kW (560 CV);Automático;Gasolina;9,7;ES;227;€ 132.900
Porsche Cayenne;64.000 km;oct-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 45.500
Porsche Cayenne;117.397 km;oct-13;180 kW (245 CV);Automático;Diésel;-/- ;ES;-/- ;€ 37.790
Porsche Macan;84.906 km;jun-14;190 kW (258 CV);Automático;Diésel;6,1;ES;-/- ;€ 42.890
Porsche Panamera;123.019 km;jul-14;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 43.900
Porsche Panamera;63.250 km;abr-15;324 kW (441 CV);Automático;Gasolina;10,7;ES;-/- ;€ 69.900
Porsche Cayenne;141.600 km;jun-13;294 kW (400 CV);Automático;Gasolina;10,5;ES;-/- ;€ 44.900
Porsche Cayenne;127.800 km;jul-14;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 42.900
Porsche Panamera;89.400 km;ene-14;382 kW (519 CV);Automático;Gasolina;10,2;ES;239;€ 67.500
Porsche Macan;69.930 km;feb-15;190 kW (258 CV);Automático;Diésel;6,3;ES;164;€ 45.500
Porsche Panamera;54.000 km;jun-14;309 kW (420 CV);Automático;Gasolina;8,9;ES;-/- ;€ 59.000
Porsche Cayenne;118.500 km;abr-13;221 kW (300 CV);Manual;Gasolina;-/- ;ES;-/- ;€ 40.000
Porsche Panamera;68.000 km;ene-13;309 kW (420 CV);Automático;Gasolina;8,7;ES;-/- ;€ 48.000
Porsche Panamera;70.000 km;ene-13;228 kW (310 CV);Automático;Gasolina;8,7;ES;-/- ;€ 48.000
Porsche 991;30.000 km;dic-14;350 kW (476 CV);Automático;Gasolina;12,4;ES;-/- ;€ 114.700
Porsche 991;115.000 km;mar-14;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 75.000
Porsche 991;75.000 km;sep-13;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 72.900
Porsche Cayman;24.000 km;jun-15;250 kW (340 CV);Automático;Gasolina;8,2;ES;-/- ;€ 69.900
Porsche 991;108.000 km;sep-13;294 kW (400 CV);Automático;Gasolina;9,1;ES;-/- ;€ 75.900
Porsche Cayenne;120.000 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 39.990
Porsche Cayenne;115.000 km;jun-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 40.000
Porsche Cayenne;129.173 km;feb-15;283 kW (385 CV);Automático;Diésel;8 l/;ES;-/- ;€ 55.300
Porsche Macan;57.284 km;mar-15;190 kW (258 CV);Automático;Diésel;-/- ;ES;-/- ;€ 48.500
Porsche Cayenne;92.550 km;dic-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 52.900
Porsche 991;2.050 km;jun-15;309 kW (420 CV);Automático;Gasolina;7,8;ES;-/- ;€ 131.500
Porsche Macan;67.000 km;abr-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 44.800
Porsche 991;92.000 km;nov-14;383 kW (521 CV);Automático;Gasolina;9,7;ES;-/- ;€ 159.000
Porsche 991;49.900 km;mar-13;257 kW (349 CV);Automático;Gasolina;8,2;ES;-/- ;€ 79.900
Porsche Panamera;35.000 km;ago-15;221 kW (300 CV);Automático;Diésel;6,4;ES;-/- ;€ 66.000
Porsche 991;39.800 km;nov-13;350 kW (476 CV);Automático;Gasolina;12,4;ES;-/- ;€ 119.800
Porsche Cayman;60.000 km;sep-14;202 kW (275 CV);Automático;Gasolina;7,7;ES;-/- ;€ 44.650
Porsche Macan;50.200 km;ago-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 69.900
Porsche Cayenne;88.000 km;ago-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 48.990
Porsche Macan;88.000 km;sep-15;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 57.990
Porsche Cayenne;75.000 km;feb-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 41.500
Porsche Cayenne;86.000 km;jun-15;193 kW (262 CV);Automático;Diésel;6,6;ES;-/- ;€ 45.890
Porsche Cayenne;68.900 km;jun-13;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 37.900
Porsche Macan;25.500 km;jun-14;294 kW (400 CV);Automático;Gasolina;8,7;ES;-/- ;€ 67.900
Porsche Cayenne;88.930 km;ago-14;294 kW (400 CV);Automático;Gasolina;10,5;ES;-/- ;€ 54.100
Porsche Macan;53.970 km;oct-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 52.500
Porsche 991;33.000 km;oct-13;257 kW (349 CV);Automático;Gasolina;8,2;ES;-/- ;€ 74.800
Porsche Cayenne;105.000 km;jun-14;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 37.000
Porsche 911;26.900 km;abr-13;294 kW (400 CV);Automático;Gasolina;-/- ;ES;-/- ;€ 100.900
Porsche Macan;19.927 km;ene-15;190 kW (258 CV);Automático;Diésel;-/- ;ES;-/- ;€ 63.900
Porsche Panamera;180.000 km;jul-14;306 kW (416 CV);Automático;Electro/Gasolina;3,1;ES;-/- ;€ 46.900
Porsche Cayenne;119.000 km;ene-13;220 kW (299 CV);Automático;Gasolina;11,2;ES;-/- ;€ 29.900
Porsche Cayenne;113.000 km;oct-15;306 kW (416 CV);Automático;Electro/Gasolina;3,4;ES;-/- ;€ 49.990
Porsche Panamera;89.000 km;jul-13;382 kW (519 CV);Automático;Gasolina;10,2;ES;-/- ;€ 49.990
Porsche Macan;128.000 km;ene-15;190 kW (258 CV);Automático;Diésel;6,3;ES;-/- ;€ 42.999
