vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price 
BMW 318;95.000 km;jul-13;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 13.450
BMW 520;169.000 km;may-13;135 kW (184 CV);Automático;Diésel;4,7;ES;-/- ;€ 13.900
BMW 320;123.150 km;may-13;120 kW (163 CV);Manual;Diésel;4,3;ES;-/- ;€ 15.990
BMW 640;135.000 km;jun-13;230 kW (313 CV);Automático;Diésel;5,6;ES;-/- ;€ 29.490
BMW 520;134.000 km;jun-13;135 kW (184 CV);Automático;Diésel;4,5;ES;-/- ;€ 16.900
BMW 520;119.000 km;ago-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 13.800
BMW 525;129.000 km;jun-13;160 kW (218 CV);Manual;Diésel;5,2;ES;-/- ;€ 19.500
BMW M6;46.000 km;sep-13;412 kW (560 CV);Automático;Gasolina;9,9;ES;-/- ;€ 49.900
BMW 325;80.000 km;jun-13;160 kW (218 CV);Manual;Diésel;4,9;ES;-/- ;€ 17.000
BMW 640;126.000 km;jun-13;230 kW (313 CV);Automático;Diésel;5,8;ES;-/- ;€ 33.000
BMW 730;188.696 km;ene-13;190 kW (258 CV);Automático;Diésel;5,6;ES;-/- ;€ 22.800
BMW X3;80.000 km;ago-13;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 22.800
BMW 520;91.969 km;feb-13;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 16.900
BMW X3;33.930 km;ene-13;110 kW (150 CV);Automático;Diésel;4,9;ES;-/- ;€ 21.900
