vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A4;205.000 km;abr-11;105 kW (143 CV);Manual;Diésel;6,2;Unknown;164;€ 10.299;
Audi S3;142.000 km;may-10;195 kW (265 CV);Manual;Gasolina;8,5;Unknown;198;€ 15.000;
Audi A7;148.256 km;ago-12;309 kW (420 CV);Automático;Gasolina;9,6;NL;225;€ 35.499;
Audi A6;101.161 km;dic-12;230 kW (313 CV);Automático;Diésel;6,4;DE;170;€ 23.990;
Audi A3;177.000 km;feb-10;103 kW (140 CV);Automático;Diésel;5,4;Unknown;143;€ 7.300;
Audi Q5;111.000 km;mar-10;132 kW (179 CV);Manual;Gasolina;8,4;DE;195;€ 12.850;
Audi A4;143.000 km;ago-11;105 kW (143 CV);Automático;Diésel;6 l/;DE;159;€ 8.850;
Audi A1;63.155 km;ene-11;90 kW (122 CV);Automático;Gasolina;-/- ;DE;126;€ 10.950;
Audi Q5;129.850 km;dic-11;155 kW (211 CV);Manual;Gasolina;8,4;DE;195;€ 16.450;
Audi A5;39.000 km;abr-12;125 kW (170 CV);Manual;Gasolina;7,1;DE;169;€ 19.750;
Audi A4;102.000 km;nov-10;118 kW (160 CV);Manual;Gasolina;7,2;DE;171;€ 9.800;
Audi A3;90.953 km;ago-12;77 kW (105 CV);Manual;Diésel;4,2;DE;112;€ 8.990;
Audi Q3;248.500 km;oct-12;103 kW (140 CV);Manual;Diésel;5,7;DE;151;€ 10.950;
Audi A3;150.000 km;ago-12;103 kW (140 CV);Manual;Diésel;5,1;DE;135;€ 8.400;
Audi A4;330.000 km;oct-12;150 kW (204 CV);Automático;Diésel;5,1;DE;135;€ 8.200;
Audi A4;147.000 km;may-11;88 kW (120 CV);Manual;Gasolina;7,2;DE;171;€ 8.200;
Audi A4;120.000 km;oct-10;88 kW (120 CV);Manual;Gasolina;7,2;Unknown;169;€ 9.500;
Audi A5;255.000 km;ene-11;105 kW (143 CV);-/- (Cambio);Diésel;5,8;Unknown;152;€ 13.750;
Audi A6;175.000 km;nov-11;180 kW (245 CV);Automático;Diésel;5,9;Unknown;162;€ 14.800;
Audi A7;200.500 km;may-11;180 kW (245 CV);Automático;Diésel;-/- ;Unknown;-/- ;€ 20.599;
Audi A5;166.000 km;sep-11;118 kW (160 CV);Manual;Gasolina;7,1;Unknown;164;€ 12.000;
