vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;;
Land Rover Discovery;197.500 km;sep-11;155 kW (211 CV);Automático;Diésel;8,5;Unknown;224;€ 16.950;;;;
Land Rover Discovery;172.000 km;jun-10;180 kW (245 CV);Automático;Diésel;9,3;DE;243;€ 15.300;;;;
Land Rover Range Rover Evoque;105.300 km;jun-12;140 kW (190 CV);Manual;Diésel;5,7;Unknown;149;€ 23.900;;;;
Land Rover Freelander;122.691 km;abr-11;110 kW (150 CV);Manual;Diésel;6,2;ES;-/- ;€ 12.500;;;;
Land Rover Range Rover Evoque;172.000 km;mar-12;140 kW (190 CV);Automático;Diésel;5,7;Unknown;-/- ;€ 16.700;;;;
Land Rover Discovery;112.000 km;ene-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 23.500;;;;
Land Rover Range Rover Evoque;78.000 km;ene-12;110 kW (150 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 15.550;;;;
Land Rover Range Rover Sport;118.000 km;mar-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 14.990;;;;
Land Rover Range Rover Evoque;109.933 km;oct-12;110 kW (150 CV);Automático;Diésel;6,5;Unknown;174;€ 18.500;;;;
Land Rover Freelander;163.000 km;dic-10;110 kW (150 CV);Manual;Diésel;6,2;Unknown;165;€ 7.000;;;;
Land Rover Freelander;175.000 km;sep-12;140 kW (190 CV);Automático;Diésel;7 l/;Unknown;185;€ 10.690;;;;
Land Rover Range Rover Sport;134.400 km;sep-10;200 kW (272 CV);Automático;Diésel;11,1;ES;-/- ;€ 22.500;;;;
Land Rover Defender;126.000 km;ago-10;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 22.000;;;;
Land Rover Discovery;181.000 km;mar-12;188 kW (256 CV);Automático;Diésel;8,8;Unknown;230;€ 17.880;;;;
Land Rover Defender;107.000 km;feb-10;90 kW (122 CV);Manual;Diésel;10 l;Unknown;266;€ 23.500;;;;
Land Rover Freelander;232.252 km;jul-12;110 kW (150 CV);Automático;Diésel;7 l/;DE;185;€ 8.990;;;;
Land Rover Range Rover Sport;114.000 km;may-11;375 kW (510 CV);Automático;Gasolina;14,9;Unknown;348;€ 17.000;;;;
Land Rover Range Rover Sport;165.000 km;oct-10;200 kW (272 CV);Automático;Diésel;11,1;AT;294;€ 19.990;;;;
Land Rover Range Rover Evoque;102.082 km;mar-12;110 kW (150 CV);Automático;Diésel;6,5;ES;-/- ;€ 20.300;;;;
Land Rover Defender;132.000 km;ago-11;90 kW (122 CV);Manual;Diésel;-/- ;DE;-/- ;€ 22.900;;;;
Land Rover Range Rover Sport;118.435 km;jun-11;375 kW (510 CV);Automático;Gasolina;14,9;DE;348;€ 29.759;;;;
Land Rover Freelander;213.720 km;sep-11;110 kW (150 CV);Manual;Diésel;6,2;IT;165;€ 6.400;;;;
Land Rover Defender;78.845 km;may-11;90 kW (122 CV);-/- (Cambio);Diésel;11,1;Unknown;295;€ 33.200;;;;
Land Rover Defender;126.690 km;ene-10;90 kW (122 CV);Manual;Diésel;10 l;IT;266;€ 21.900;;;;
Land Rover Range Rover Evoque;139.000 km;dic-12;110 kW (150 CV);Automático;Diésel;5,7;IT;149;€ 19.800;;;;
Land Rover Range Rover Evoque;178.246 km;feb-12;110 kW (150 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 12.991;;;;
Land Rover Freelander;171.000 km;jul-10;110 kW (150 CV);Manual;Diésel;6,7;Unknown;179;€ 9.600;;;;
Land Rover Defender;104.777 km;jul-10;90 kW (122 CV);Manual;Diésel;11 l;Unknown;295;€ 29.999;;;;
Land Rover Range Rover Evoque;155.000 km;may-12;140 kW (190 CV);Automático;Diésel;6,5;BE;174;€ 14.500;;;;
Land Rover Range Rover Evoque;62.000 km;nov-12;110 kW (150 CV);Manual;Diésel;5 l/;Unknown;133;€ 21.500;;;;
Land Rover Defender;138.800 km;ene-12;90 kW (122 CV);Manual;Diésel;10,2;DE;269;€ 24.900;;;;
Land Rover Discovery;162.800 km;may-12;188 kW (256 CV);Automático;Diésel;8,8;DE;233;€ 22.930;;;;
Land Rover Discovery;170.000 km;oct-10;140 kW (190 CV);Automático;Diésel;10,2;Unknown;270;€ 20.300;;;;
Land Rover Range Rover Evoque;82.000 km;jul-12;140 kW (190 CV);Automático;Diésel;5,7;IT;149;€ 17.500;;;;
Land Rover Range Rover Evoque;127.620 km;oct-11;140 kW (190 CV);Manual;Diésel;5,7;ES;-/- ;€ 18.600;;;;
Land Rover Range Rover Sport;159.000 km;oct-11;180 kW (245 CV);Automático;Diésel;9,2;DE;244;€ 15.950;;;;
Land Rover Freelander;140.000 km;sep-12;110 kW (150 CV);Manual;Diésel;7,5;DE;194;€ 9.400;;;;
Land Rover Freelander;199.899 km;mar-12;110 kW (150 CV);Manual;Diésel;-/- ;BE;165;€ 8.900;;;;
